50_rmse_mean,50_rmse_stdev,50_r2_mean,50_r2_stdev,100_rmse_mean,100_rmse_stdev,100_r2_mean,100_r2_stdev
0.8828348,0.00266727,0.57951974,0.00353271,0.90612246,0.00552953,0.55702767,0.00627518
0.87578883,0.00204102,0.58158289,0.00090983,0.91073989,0.01071213,0.54407074,0.01050863
0.86698524,0.00354988,0.58423345,0.00361654,0.88137091,0.00666339,0.5603073,0.00680403
0.85935688,0.00129219,0.58395746,0.00224743,0.87162182,0.00441389,0.56015379,0.003608
0.85548417,0.00171693,0.58253926,0.0028657,0.86226517,0.00350954,0.55978888,0.00257451
0.84875846,0.00565326,0.58403255,0.00400989,0.85506043,0.00205247,0.55762959,0.00243613
0.84546622,0.00275767,0.58336775,0.00211911,,,,
0.8400668,0.00520537,0.58439358,0.00431633,,,,
0.83298362,0.00430327,0.58745525,0.00373539,,,,
0.83304524,0.00538515,0.58242411,0.00398269,,,,
0.83156874,0.0024919,0.57907055,0.00140203,,,,
