50_rmse_mean,50_rmse_stdev,50_r2_mean,50_r2_stdev,100_rmse_mean,100_rmse_stdev,100_r2_mean,100_r2_stdev
1.03893487,0.00316716,0.41765744,0.0044029,1.09267142,0.00537416,0.35584084,0.0077091
1.03605464,0.0116779,0.42093938,0.01351616,1.07811094,0.00830099,0.37205532,0.01125256
1.029753,0.00582461,0.42718089,0.00479772,1.06399907,0.00076471,0.3881065,0.00240531
1.02394432,0.00695859,0.43355287,0.00643849,1.05603195,0.00540892,0.39697234,0.00457613
1.02377625,0.00499421,0.43349083,0.00499589,1.05464761,0.0033065,0.39888207,0.00257102
1.02169546,0.00798742,0.43556679,0.00763515,1.04775072,0.00494149,0.40662196,0.00357409
1.01880954,0.00497658,0.43873601,0.00370926,,,,
1.0252806,0.00773308,0.43183631,0.00914905,,,,
1.02012532,0.01197566,0.43754174,0.01189927,,,,
1.01623419,0.01395312,0.44172037,0.01237836,,,,
1.01809387,0.00781465,0.43972848,0.00669932,,,,
