,0
0,4103
1,4105
2,4106
3,4201
4,4200
5,6750
6,1397
7,4202
8,4214
9,1398
10,7922
11,4110
12,4213
13,3941
14,4109
15,6902
16,4102
17,1400
18,6718
19,4093
20,3938
21,9141
22,4318
23,4177
24,6901
25,4319
26,2914
27,7550
28,8166
29,4179
30,1512
31,4095
32,1314
33,4317
34,4290
35,4332
36,4142
37,8246
38,8231
39,8245
40,6749
41,4044
42,7143
43,4331
44,8872
45,3947
46,4328
47,1978
48,1743
49,4008
50,4291
51,4045
52,4059
53,4047
54,2538
55,4289
56,4180
57,4111
58,9026
59,2915
60,4065
61,4301
62,9541
63,4203
64,8429
65,1412
66,3943
67,2908
68,8169
69,1653
70,5268
71,4043
72,2719
73,1363
74,4300
75,8232
76,4330
77,4100
78,4181
79,4131
80,8168
81,4353
82,7614
83,8242
84,1401
85,7999
86,1156
87,8353
88,6873
89,4010
90,3951
91,6857
92,8867
93,6275
94,1498
95,1742
96,8241
97,8416
98,6758
99,2910
100,7913
101,7171
102,4094
103,7623
104,8226
105,8244
106,4092
107,9120
108,4182
109,2721
110,1373
111,4192
112,4101
113,2313
114,4146
115,3987
116,6274
117,4187
118,7619
119,7620
120,4196
121,4015
122,9274
123,1422
124,1769
125,1421
126,4197
127,2224
128,4450
129,4097
130,7544
131,4104
132,6751
133,4113
134,2203
135,6912
136,6842
137,620
138,6229
139,6739
140,1161
141,8865
142,7917
143,1316
144,5207
145,4338
146,1328
147,2707
148,6703
149,1698
150,8866
151,621
152,7126
153,6742
154,2306
155,7919
156,9114
157,6659
158,50
159,1174
160,2555
161,4207
162,1334
163,1332
164,2316
165,1987
166,9135
167,4346
168,1425
169,7570
170,4254
171,51
172,6729
173,8878
174,9134
175,4210
176,8459
177,7167
178,4208
179,4199
180,6253
181,4359
182,2317
183,8905
184,1868
185,4118
186,1501
187,3950
188,4115
189,1986
190,6872
191,7174
192,4140
193,6267
194,8230
195,3906
196,8144
197,9542
198,8417
199,1764
200,4198
201,7175
202,8908
203,1527
204,4195
205,8227
206,4063
207,944
208,8940
209,7148
210,7916
211,2559
212,4206
213,4355
214,6278
215,3831
216,7122
217,1362
218,9449
219,6695
220,6841
221,1170
222,2526
223,7545
224,1738
225,2537
226,2539
227,8233
228,3990
229,2553
230,9024
231,7877
232,6888
233,7457
234,9127
235,4335
236,8228
237,4134
238,6717
239,9532
240,7417
241,8333
242,2552
243,4048
244,7600
245,9121
246,4396
247,6662
248,6227
249,1846
250,6859
251,8399
252,9025
253,5907
254,2525
255,3937
256,4340
257,6734
258,4326
259,9238
260,4143
261,1768
262,7905
263,6884
264,3978
265,1500
266,1365
267,9237
268,1409
269,2285
270,4209
271,7985
272,1514
273,6712
274,1450
275,4002
276,1451
277,4125
278,7164
279,4334
280,1771
281,8235
282,7517
283,7135
284,8024
285,6702
286,7735
287,624
288,2535
289,1741
290,8236
291,2557
292,1335
293,1426
294,4327
295,4112
296,1370
297,7130
298,2205
299,7546
300,6831
301,5269
302,7710
303,4153
304,9488
305,2527
306,9554
307,4256
308,2709
309,4175
310,935
311,9133
312,622
313,7605
314,4060
315,8426
316,9118
317,4306
318,623
319,2536
320,4219
321,619
322,6881
323,4310
324,8350
325,4316
326,2528
327,4303
328,1671
329,936
330,4314
331,8163
332,1517
333,8425
334,4296
335,9105
336,4337
337,7539
338,1979
339,7115
340,6700
341,1864
342,9536
343,4122
344,1342
345,6286
346,8239
347,4108
348,6830
349,8951
350,2550
351,4129
352,9535
353,2542
354,3112
355,9534
356,3111
357,9132
358,7602
359,9546
360,4114
361,8162
362,9982
363,2549
364,2302
365,2732
366,9033
367,8880
368,3064
369,1366
370,4117
371,4119
372,4123
373,6812
374,1751
375,3066
376,8146
377,1371
378,9399
379,6697
380,2308
381,9070
382,7906
383,2218
384,480
385,7908
386,8134
387,1515
388,6792
389,2219
390,2723
391,8410
392,7260
393,9551
394,2713
395,8319
396,6887
397,2204
398,1413
399,3939
400,9398
401,9396
402,3944
403,9406
404,7553
405,9452
406,5515
407,7880
408,8240
409,5158
410,8402
411,6536
412,1699
413,1338
414,6738
415,5267
416,4305
417,4021
418,1695
419,3108
420,4186
421,2541
422,4297
423,2531
424,4006
425,9451
426,9455
427,1403
428,4185
429,7900
430,9458
431,4309
432,8167
433,4344
434,6233
435,7110
436,8161
437,9558
438,585
439,676
440,1499
441,6838
442,4050
443,2287
444,978
445,3039
446,8221
447,5514
448,925
449,7920
450,4053
451,7591
452,4056
453,2909
454,2913
455,1315
456,6257
457,926
458,1329
459,1646
460,5520
461,4096
462,4116
463,945
464,6720
465,1661
466,4356
467,7534
468,1991
469,4150
470,7860
471,1084
472,6508
473,1341
474,1649
475,9097
476,6256
477,8321
478,6353
479,8136
480,8411
481,4073
482,923
483,5510
484,6287
485,53
486,9073
487,7556
488,6680
489,1793
490,9144
491,8329
492,4139
493,7166
494,8348
495,7616
496,2916
497,7447
498,8142
499,4188
