,0
0,926
1,614
2,5946
3,25
4,3922
5,5564
6,9261
7,9293
8,8183
9,6149
10,5056
11,5719
12,4828
13,1351
14,8898
15,3927
16,6935
17,3004
18,3385
19,216
20,6396
21,5846
22,5724
23,1268
24,9019
25,4235
26,3007
27,1052
28,7541
29,970
30,6229
31,342
32,6956
33,6389
34,822
35,6371
36,4244
37,6068
38,1832
39,2266
40,4089
41,4456
42,4164
43,4001
44,3257
45,8566
46,4817
47,5936
48,6512
49,2812
50,7177
51,2108
52,583
53,6066
54,2561
55,8367
56,407
57,1981
58,6646
59,9246
60,2592
61,1556
62,1949
63,5996
64,4972
65,6518
66,3579
67,3661
68,8148
69,5541
70,5596
71,4276
72,1623
73,1712
74,3718
75,2511
76,5143
77,5700
78,2448
79,4647
80,4522
81,6725
82,9366
83,1550
84,6266
85,7264
86,1642
87,2626
88,8651
89,2127
90,6554
91,3084
92,9017
93,1692
94,7544
95,4087
96,161
97,4121
98,5061
99,4507
100,7815
101,2524
102,3623
103,2690
104,8163
105,1228
106,7239
107,4692
108,2566
109,1278
110,6492
111,9554
112,2300
113,2454
114,9181
115,5052
116,1931
117,4653
118,7146
119,6083
120,3808
121,3590
122,4664
123,3954
124,4855
125,9076
126,1973
127,6812
128,1776
129,7874
130,3913
131,2497
132,8611
133,481
134,3320
135,1826
136,1838
137,2242
138,26
139,888
140,8702
141,7253
142,8050
143,9026
144,6694
145,8508
146,9457
147,5975
148,2412
149,9816
150,4441
151,1527
152,5124
153,9932
154,1554
155,1902
156,4542
157,195
158,2329
159,765
160,1468
161,7116
162,9215
163,7187
164,3203
165,9179
166,9716
167,1528
168,6730
169,7231
170,2846
171,4184
172,5920
173,7675
174,7366
175,3285
176,2526
177,7437
178,7634
179,9278
180,1216
181,2817
182,7659
183,662
184,505
185,7195
186,7244
187,2603
188,9364
189,9900
190,2714
191,8200
192,9013
193,5681
194,5646
195,2488
196,7291
197,9686
198,6000
199,5919
200,2680
201,1835
202,3390
203,7533
204,9930
205,5779
206,6597
207,4929
208,1662
209,196
210,8617
211,9386
212,4894
213,3447
214,6017
215,6702
216,9763
217,6504
218,6063
219,440
220,7142
221,8531
222,6045
223,8194
224,9675
225,5343
226,7843
227,7672
228,5597
229,5421
230,2469
231,7186
232,1009
233,6591
234,4326
235,7699
236,963
237,1266
238,3981
239,7742
240,4303
241,4030
242,8059
243,2163
244,5922
245,8907
246,5616
247,9547
248,3226
249,513
250,9571
251,2268
252,8329
253,3914
254,7850
255,431
256,9068
257,7310
258,1598
259,3391
260,3032
261,1012
262,9454
263,5515
264,8956
265,836
266,8048
267,2185
268,4156
269,592
270,5999
271,5553
272,3075
273,667
274,7789
275,5227
276,9228
277,2944
278,27
279,787
280,3042
281,7600
282,792
283,8728
284,5391
285,4171
286,7176
287,6169
288,4180
289,4744
290,8081
291,9927
292,6991
293,2891
294,4926
295,9439
296,512
297,4033
298,3101
299,7225
300,5727
301,9240
302,7677
303,9010
304,3491
305,372
306,1180
307,6354
308,8958
309,1725
310,9116
311,3821
312,8362
313,7642
314,8928
315,1848
316,4359
317,7710
318,2487
319,4782
320,2310
321,3545
322,8694
323,2000
324,8000
325,7888
326,2276
327,6134
328,660
329,6705
330,568
331,4281
332,4682
333,4632
334,673
335,4798
336,7349
337,9892
338,2281
339,5783
340,6256
341,6582
342,8124
343,7331
344,2177
345,5240
346,33
347,3246
348,6234
349,7970
350,4952
351,8754
352,5952
353,3783
354,7878
355,1895
356,1035
357,805
358,8927
359,2955
360,8093
361,4707
362,5825
363,8460
364,4131
365,4903
366,3906
367,7813
368,2828
369,4004
370,5907
371,4421
372,9549
373,637
374,620
375,1676
376,7639
377,8443
378,809
379,666
380,2336
381,6889
382,3797
383,7322
384,3962
385,32
386,2449
387,734
388,8668
389,7596
390,1593
391,9166
392,9466
393,34
394,8195
395,5077
396,9154
397,4634
398,4086
399,1795
400,726
401,3987
402,3409
403,9633
404,9772
405,2503
406,1197
407,3079
408,1933
409,6499
410,4572
411,4600
412,8243
413,3596
414,2340
415,5894
416,3191
417,5551
418,201
419,2844
420,6215
421,8535
422,4792
423,462
424,8118
425,3336
426,6349
427,5813
428,8364
429,4071
430,525
431,5205
432,5166
433,1389
434,3602
435,2939
436,6178
437,3729
438,9463
439,9477
440,1221
441,1148
442,3370
443,1282
444,8687
445,6788
446,9313
447,2158
448,4587
449,6663
450,3532
451,4977
452,6002
453,8337
454,439
455,7398
456,6424
457,9055
458,6200
459,8004
460,4663
461,1647
462,9323
463,5040
464,5435
465,4785
466,2729
467,1594
468,4694
469,1615
470,8920
471,4598
472,8691
473,2494
474,8738
475,6712
476,5586
477,601
478,7389
479,4194
480,1043
481,1120
482,1618
483,7671
484,8396
485,1236
486,2961
487,799
488,5610
489,8352
490,9100
491,109
492,7499
493,1971
494,5465
495,5983
496,4123
497,3980
498,691
499,3574
