,0
0,9229
1,9243
2,9121
3,6859
4,8399
5,7447
6,8273
7,9238
8,1685
9,7342
10,9805
11,203
12,9134
13,8277
14,4130
15,1332
16,9319
17,1240
18,1241
19,1239
20,1326
21,1327
22,6757
23,1313
24,1325
25,1833
26,1831
27,1832
28,3108
29,3111
30,3113
31,6273
32,1140
33,3114
34,3110
35,8212
36,3117
37,3115
38,3116
39,8270
40,4584
41,6823
42,9316
43,3529
44,3109
45,6851
46,7339
47,3112
48,4998
49,3985
50,618
51,7442
52,1686
53,1652
54,1649
55,1645
56,1650
57,1646
58,1688
59,3902
60,1651
61,3904
62,9887
63,1647
64,5534
65,1648
66,3903
67,1409
68,1687
69,4612
70,4101
71,6914
72,9886
73,1328
74,1329
75,1529
76,1373
77,1530
78,1531
79,1527
80,643
81,1528
82,644
83,1653
84,1372
85,1362
86,646
87,647
88,286
89,1654
90,4452
91,654
92,650
93,649
94,664
95,660
96,645
97,652
98,656
99,5512
100,341
101,4044
102,4382
103,1225
104,4196
105,1421
106,1422
107,4195
108,1419
109,4043
110,4045
111,1423
112,4197
113,4198
114,1420
115,1424
116,4199
117,4318
118,4047
119,5515
120,4411
121,4415
122,4319
123,4317
124,6758
125,3801
126,3802
127,3800
128,1717
129,4884
130,7147
131,4129
132,4883
133,3367
134,9836
135,841
136,5188
137,8461
138,3661
139,9046
140,774
141,9141
142,8408
143,8223
144,9050
145,9884
146,9057
147,7460
148,9280
149,8283
150,6133
151,6134
152,6204
153,6205
154,6142
155,6136
156,6491
157,6146
158,6137
159,6131
160,6138
161,6140
162,6144
163,6141
164,6132
165,6130
166,3098
167,7290
168,6145
169,6139
170,8166
171,6916
172,4642
173,6143
174,1226
175,9494
176,5124
177,2050
178,2051
179,2044
180,2049
181,2045
182,2046
183,3289
184,2052
185,2056
186,972
187,2047
188,2054
189,2048
190,2055
191,9972
192,1250
193,2053
194,1721
195,3875
196,4389
197,3561
198,99
199,1919
200,3306
201,5737
202,4290
203,6680
204,5734
205,3309
206,9022
207,7900
208,5735
209,9145
210,3310
211,4838
212,4291
213,5736
214,7591
215,9026
216,3302
217,6458
218,3303
219,5616
220,3304
221,9097
222,4843
223,9027
224,9024
225,3120
226,5111
227,3831
228,3119
229,5101
230,5110
231,5103
232,5270
233,5109
234,5105
235,5107
236,5097
237,5104
238,5106
239,1450
240,5112
241,5108
242,5099
243,5102
244,3121
245,1451
246,5098
247,1449
248,5100
249,4786
250,4745
251,9587
252,4396
253,8538
254,704
255,1978
256,1896
257,4128
258,6717
259,2704
260,1853
261,1898
262,1895
263,7499
264,7171
265,3185
266,1979
267,1426
268,1897
269,1977
270,1732
271,1363
272,2313
273,8024
274,1899
275,9130
276,3014
277,3015
278,3016
279,3022
280,4837
281,4803
282,5591
283,4374
284,6093
285,5965
286,8510
287,1659
288,4842
289,8850
290,3851
291,3018
292,3013
293,6091
294,3017
295,1333
296,619
297,4818
298,3019
299,3021
300,4008
301,3604
302,2489
303,1560
304,4010
305,4009
306,6416
307,2559
308,2754
309,6224
310,1562
311,1557
312,1559
313,6267
314,3616
315,1704
316,2884
317,941
318,1556
319,2886
320,3593
321,4698
322,9987
323,3621
324,1558
325,1626
326,2477
327,2476
328,1627
329,6712
330,1314
331,1624
332,2555
333,1315
334,343
335,2483
336,2484
337,1628
338,8469
339,1623
340,3906
341,2485
342,275
343,1316
344,4123
345,8468
346,666
347,8464
348,8470
349,2470
350,8504
351,1408
352,7922
353,6750
354,2698
355,1514
356,9452
357,3343
358,1496
359,4200
360,6749
361,9299
362,1268
363,1515
364,1821
365,9249
366,3978
367,8569
368,234
369,1497
370,1516
371,1311
372,1260
373,6751
374,4131
375,3840
376,6538
377,7923
378,1913
379,1397
380,3836
381,491
382,8428
383,4105
384,6515
385,3838
386,3143
387,2224
388,1912
389,3118
390,4106
391,1498
392,51
393,353
394,2308
395,50
396,3837
397,4059
398,8243
399,8224
400,4423
401,4211
402,8665
403,4775
404,5130
405,9890
406,6727
407,2676
408,4210
409,7496
410,6879
411,8493
412,4143
413,8933
414,8630
415,4120
416,6364
417,2024
418,1412
419,9990
420,5153
421,1716
422,7621
423,8402
424,8229
425,8495
426,3617
427,6497
428,4064
429,6993
430,3622
431,9144
432,7175
433,8348
434,8281
435,469
436,4542
437,3579
438,5205
439,3982
440,681
441,3955
442,980
443,2557
444,4993
445,1545
446,1869
447,7060
448,8245
449,8429
450,620
451,5792
452,3066
453,3062
454,6353
455,2806
456,9534
457,1661
458,5999
459,6713
460,74
461,2312
462,4093
463,1812
464,8896
465,2914
466,3901
467,3294
468,1334
469,6348
470,8687
471,621
472,6912
473,1507
474,7122
475,5614
476,9237
477,8908
478,8613
479,4110
480,4109
481,8700
482,3970
483,8021
484,4147
485,2142
486,4111
487,6590
488,8923
489,9488
490,3084
491,9455
492,4020
493,9617
494,1166
495,5695
496,6253
497,9449
498,1167
499,3941
