,0
0,9229
1,9243
2,7447
3,8273
4,9121
5,7342
6,8399
7,6859
8,203
9,9238
10,1685
11,9805
12,8277
13,9134
14,4130
15,9319
16,1241
17,1239
18,1332
19,1240
20,6757
21,1327
22,1326
23,1325
24,1308
25,1833
26,1832
27,1831
28,3108
29,3113
30,6851
31,9316
32,4584
33,8212
34,8270
35,7339
36,3529
37,3110
38,3111
39,3116
40,4998
41,3109
42,3117
43,3115
44,1140
45,3114
46,6273
47,6823
48,7442
49,3985
50,618
51,4612
52,1687
53,1647
54,5534
55,1686
56,1688
57,9887
58,1652
59,1645
60,1650
61,1649
62,3903
63,3904
64,1648
65,1409
66,3902
67,1646
68,1651
69,9886
70,6914
71,4101
72,1328
73,1330
74,1064
75,1530
76,1529
77,1531
78,1373
79,1527
80,643
81,1528
82,644
83,1653
84,286
85,1372
86,665
87,659
88,1654
89,649
90,1362
91,4452
92,654
93,4599
94,655
95,648
96,660
97,646
98,341
99,658
100,1225
101,4382
102,4415
103,4411
104,4044
105,4195
106,4196
107,1419
108,1423
109,4043
110,1421
111,1420
112,4198
113,1422
114,4045
115,1424
116,4199
117,5515
118,4197
119,4047
120,4318
121,4055
122,4051
123,4049
124,4053
125,9836
126,5612
127,6911
128,7147
129,3801
130,2456
131,9144
132,9280
133,6758
134,7354
135,8223
136,7460
137,8461
138,8283
139,3800
140,2388
141,8408
142,9884
143,3802
144,6759
145,4883
146,3661
147,4884
148,3367
149,1717
150,6491
151,5185
152,5188
153,4129
154,5151
155,7290
156,5171
157,5124
158,5156
159,5223
160,5210
161,5205
162,5231
163,5228
164,5196
165,5161
166,5166
167,5181
168,5176
169,5220
170,5200
171,5215
172,1250
173,5191
174,5236
175,6204
176,6205
177,3798
178,6132
179,4642
180,3098
181,6145
182,6135
183,6140
184,6918
185,6133
186,6137
187,6142
188,6130
189,6143
190,6144
191,6141
192,6136
193,6134
194,6131
195,6146
196,6139
197,6138
198,1226
199,282
200,3289
201,9141
202,2047
203,9494
204,2051
205,2049
206,2044
207,2055
208,2050
209,2045
210,2054
211,2048
212,2046
213,2053
214,2052
215,2056
216,972
217,6750
218,99
219,6751
220,6749
221,7922
222,4745
223,9972
224,3875
225,9145
226,3306
227,1919
228,3301
229,7016
230,8166
231,3831
232,6713
233,1496
234,4389
235,3313
236,3302
237,3303
238,3310
239,3305
240,3314
241,3309
242,3304
243,3312
244,6458
245,3311
246,3307
247,3315
248,3308
249,5616
250,5111
251,3561
252,5109
253,9022
254,5110
255,5112
256,6949
257,5737
258,5738
259,5734
260,9027
261,5736
262,4814
263,4843
264,5735
265,5107
266,4804
267,4809
268,4799
269,4861
270,4838
271,5102
272,4822
273,704
274,4853
275,5270
276,3119
277,4786
278,3120
279,4290
280,4289
281,4291
282,8510
283,3121
284,2704
285,5965
286,1898
287,4773
288,7499
289,8996
290,3022
291,4792
292,8128
293,9587
294,8538
295,4782
296,8124
297,4775
298,4784
299,8127
300,1450
301,1449
302,1451
303,4128
304,4371
305,2489
306,4374
307,343
308,4362
309,9130
310,6416
311,1978
312,4695
313,4702
314,4699
315,3490
316,4693
317,4691
318,1977
319,4703
320,4692
321,4700
322,1979
323,2754
324,4698
325,1426
326,4803
327,5262
328,1333
329,8850
330,619
331,4808
332,4813
333,4842
334,3851
335,4856
336,4837
337,4852
338,4818
339,3852
340,4827
341,4847
342,1363
343,1561
344,3604
345,3593
346,2476
347,2477
348,3483
349,1659
350,2698
351,1853
352,666
353,4009
354,1626
355,9987
356,6224
357,1627
358,2559
359,4008
360,1625
361,1623
362,4010
363,1624
364,1628
365,8468
366,1812
367,6267
368,4423
369,8464
370,1322
371,2676
372,8466
373,8473
374,8463
375,3343
376,7287
377,1716
378,4996
379,9299
380,8504
381,4396
382,8493
383,9890
384,3840
385,8495
386,3185
387,6712
388,7496
389,990
390,941
391,2555
392,4123
393,8974
394,9300
395,7292
396,6515
397,6874
398,8569
399,4120
400,1913
401,3906
402,841
403,3905
404,1821
405,3907
406,8754
407,1408
408,8896
409,1268
410,8022
411,1822
412,5792
413,1823
414,4634
415,353
416,1247
417,7923
418,7937
419,6879
420,904
421,469
422,1930
423,9450
424,337
425,3139
426,1545
427,8625
428,8630
429,8665
430,6538
431,4605
432,8653
433,6497
434,8224
435,1311
436,3141
437,3770
438,3143
439,3443
440,6364
441,54
442,4688
443,3118
444,3978
445,5137
446,491
447,8933
448,7900
449,2957
450,8700
451,234
452,4392
453,5999
454,8715
455,5701
456,2308
457,3803
458,7060
459,5153
460,4993
461,1497
462,3888
463,6727
464,7058
465,8839
466,7056
467,9802
468,9493
469,9937
470,4542
471,6032
472,9423
473,7621
474,5702
475,393
476,3982
477,2024
478,4131
479,6168
480,3772
481,4087
482,7169
483,5125
484,8243
485,167
486,681
487,151
488,7120
489,1720
490,2806
491,6191
492,5591
493,3858
494,1505
495,1498
496,3059
497,8021
498,3839
499,8916
