,0
0,9134
1,9121
2,1685
3,646
4,1332
5,3985
6,4045
7,6859
8,7147
9,647
10,6883
11,1732
12,1064
13,6469
14,4196
15,4197
16,9887
17,8399
18,4330
19,4043
20,9886
21,8277
22,4048
23,4784
24,1408
25,9229
26,1362
27,4047
28,1372
29,7447
30,8273
31,9238
32,7342
33,1397
34,4319
35,203
36,4106
37,1373
38,4179
39,1423
40,4198
41,1401
42,1398
43,1400
44,4177
45,5269
46,4044
47,4059
48,3978
49,1406
50,1328
51,3112
52,1331
53,1409
54,1140
55,1653
56,3108
57,1527
58,1239
59,1240
60,1529
61,1686
62,1330
63,1363
64,1651
65,1833
66,4010
67,1426
68,4008
69,1371
70,3907
71,4103
72,3906
73,1425
74,3851
75,643
76,4057
77,4200
78,9141
79,4291
80,4065
81,4130
82,618
83,3852
84,1241
85,1645
86,1646
87,3831
88,620
89,6205
90,1326
91,3941
92,1313
93,4009
94,4195
95,4102
96,1312
97,6718
98,4105
99,4131
100,9319
101,4110
102,4101
103,4201
104,4382
105,3902
106,4109
107,4111
108,4128
109,4142
110,4214
111,4060
112,4202
113,4175
114,6750
115,3951
116,7922
117,5515
118,4119
119,4129
120,4113
121,1405
122,4046
123,4093
124,5500
125,4104
126,5268
127,3943
128,4063
129,936
130,4049
131,1334
132,5509
133,3950
134,1399
135,4180
136,82
137,4150
138,624
139,2536
140,1403
141,4108
142,4153
143,2530
144,3120
145,3938
146,4140
147,4050
148,4134
149,2534
150,9130
151,9132
152,9144
153,9097
154,9118
155,4181
156,9103
157,2538
158,1934
159,4203
160,1413
161,6751
162,3955
163,9452
164,650
165,1659
166,4095
167,3910
168,4143
169,4055
170,1565
171,1412
172,1335
173,4212
174,7999
175,6758
176,5191
177,4051
178,1166
179,1451
180,1496
181,4064
182,4115
183,4053
184,4335
185,5514
186,2385
187,621
188,3937
189,1979
190,2884
191,6749
192,3801
193,6734
194,53
195,4054
196,1516
197,9133
198,3802
199,1269
200,1422
201,4389
202,3294
203,4451
204,3942
205,3947
206,1365
207,4123
208,1159
209,4188
210,7143
211,3987
212,6275
213,4209
214,3944
215,4185
216,8166
217,3949
218,4207
219,8221
220,4187
221,7550
222,644
223,4182
224,622
225,3945
226,4112
227,4210
228,9455
229,7710
230,1823
231,4116
232,4126
233,5510
234,4450
235,7126
236,9135
237,9453
238,3948
239,3110
240,4208
241,4396
242,3126
243,4192
244,4118
245,5246
246,8233
247,9449
248,4092
249,8235
250,8212
251,6993
252,1342
253,9587
254,9120
255,7260
256,5595
257,9275
258,3121
259,1538
260,9982
261,2526
262,4303
263,8063
264,52
265,9119
266,5594
267,651
268,9131
269,2528
270,3954
271,1899
272,4307
273,3912
274,2550
275,4199
276,1368
277,4338
278,4206
279,2548
280,7457
281,1499
282,7825
283,8576
284,8618
285,4256
286,4306
287,4114
288,1853
289,3946
290,4305
291,4100
292,3984
293,5494
294,9085
295,9399
296,3988
297,8459
298,4121
299,9274
300,4073
301,6902
302,9243
303,1430
304,763
305,4015
306,1424
307,619
308,4125
309,8281
310,6257
311,3913
312,4337
313,4639
314,4097
315,4297
316,4293
317,4296
318,623
319,1366
320,4099
321,8169
322,7623
323,9485
324,4295
325,804
326,1315
327,8350
328,4310
329,5503
330,4290
331,4308
332,4289
333,5523
334,4314
335,2542
336,4309
337,3066
338,1414
339,4315
340,4294
341,4213
342,4193
343,4332
344,5270
345,3777
346,1798
347,9882
348,8168
349,6881
350,6134
351,3855
352,6129
353,1742
354,9026
355,4157
356,7544
357,8353
358,480
359,676
360,4340
361,1338
362,6209
363,7517
364,9126
365,1743
366,9123
367,2544
368,9488
369,4147
370,7016
371,6717
372,2316
373,9128
374,6136
375,9486
376,4191
377,4342
378,4152
379,3939
380,5862
381,4341
382,7290
383,7917
384,1421
385,2915
386,8946
387,3881
388,6713
389,9127
390,4334
391,9338
392,5014
393,6012
394,6253
395,4231
396,6267
397,8163
398,2719
399,8162
400,9494
401,9489
402,8429
403,7620
404,2910
405,2913
406,2916
407,2908
408,7417
409,6274
410,2909
411,8245
412,2918
413,8026
414,2912
415,710
416,4549
417,2917
418,103
419,8850
420,7174
421,978
422,2559
423,2911
424,4318
425,2920
426,2914
427,3189
428,2411
429,7314
430,167
431,7918
432,6951
433,2921
434,1378
435,1385
436,7020
437,4072
438,9492
439,5899
440,9493
441,168
442,9406
443,4135
444,9136
445,7739
446,9694
447,8170
448,9302
449,8167
450,2224
451,4127
452,4132
453,1333
454,1698
455,6727
456,4145
457,4117
458,4139
459,6866
460,6855
461,1419
462,1410
463,6724
464,6273
465,9932
466,6272
467,1624
468,6720
469,6712
470,6731
471,4137
472,4138
473,6715
474,9129
475,2721
476,5207
477,9689
478,4122
479,4254
480,6745
481,8538
482,4136
483,9025
484,845
485,6729
486,6276
487,4597
488,6268
489,6491
490,1161
491,2715
492,6091
493,6270
494,4146
495,8504
496,7735
497,6709
498,2756
499,7133
